name,traffic_score,rating,category,state
Frenzy Sports Arena,25.71,4.1,Recreation Centers,Selangor
CrossFit Pahlawan,29.0,4.7,Gyms & Studios,Selangor
TFC FISHING TACKLE SDN BHD,46.5,4.1,Fishing & Hunting,Pahang
Puncak Alam Golf Driving Range,42.29,4.0,Golf & Driving Ranges,Selangor
JSA Arena,34.71,4.4,Team Sports & Fields,Selangor
The LOFT Fitness,41.43,4.8,Gyms & Studios,Melaka
Akademi Tenis Johor (Nusa Duta Tennis Complex),59.14,4.3,Racquet & Club Sports,Johor
Sport 100 Badminton Center,47.29,4.1,Other Outdoor & Lawn Sports,Selangor
ANGLERS' TACKLES,55.14,4.3,Fishing & Hunting,Sarawak
The Olympic Gym,55.86,4.7,Gyms & Studios,Other
UniPutra Golf Club,70.86,3.8,Golf & Driving Ranges,Selangor
The Challenger Sport Centre AMPANG (Book with AFA app),32.71,4.3,Recreation Centers,Selangor
Sanwa Aquatics (KL) Sdn Bhd (Strictly on Wholesale Only),60.4,3.6,Fishing & Hunting,Selangor
The Mines Resort & Golf Club,68.33,4.4,Golf & Driving Ranges,Selangor
Tiara Melaka Golf & Country Club,22.43,4.1,Golf & Driving Ranges,Melaka
De Stadium Futsal KB (wakaf bharu),37.57,4.4,Ball Sports,Kelantan
Workout Station,33.33,4.6,Gyms & Studios,Perak
Haslina Badminton Hall,28.86,4.2,Other Outdoor & Lawn Sports,Kelantan
Fymac Fishing Tackle,57.5,4.5,Fishing & Hunting,Johor
Iron Fitness & Gym,42.14,4.5,Gyms & Studios,Kuala Lumpur
Fitness First Gym - NU Empire,54.57,3.8,Gyms & Studios,Selangor
Fuel Athletics,30.0,4.8,Gyms & Studios,Kuala Lumpur
Michael's Badminton Academy @ Bukit Puchong,45.29,4.0,Other Outdoor & Lawn Sports,Selangor
G Force Gym and Fitness Centre Puncak Alam,43.17,4.2,Gyms & Studios,Selangor
Yogshakti,41.0,4.9,Gyms & Studios,Kuala Lumpur
I Muscles Fitness,45.29,4.8,Gyms & Studios,Perak
Marina Putrajaya,26.57,4.3,Recreation Centers,Putrajaya
TCE Tackles Sdn Bhd,73.0,4.6,Fishing & Hunting,Perak
Fitness First Gym - Klang Bukit Tinggi,55.43,3.6,Gyms & Studios,Selangor
99 Apacs Badminton Centre,56.57,3.9,Other Outdoor & Lawn Sports,Johor
Max Gym,44.29,3.7,Gyms & Studios,Sarawak
Enrich Fitness,45.14,4.1,Gyms & Studios,Selangor
TCE Tackles Sdn Bhd,69.14,4.3,Fishing & Hunting,Sabah
"Amigo Clubhouse @ 16 Sierra, Puchong South",52.0,4.0,Recreation Centers,Selangor
Sports Arena Sentosa,42.14,4.3,Recreation Centers,Kuala Lumpur
Bard Gym,51.71,3.0,Gyms & Studios,Kelantan
"Peak Fitness SOGO, KL City Centre",50.29,4.1,Gyms & Studios,Kuala Lumpur
Fisher Tackles Sdn. Bhd.,51.86,4.3,Fishing & Hunting,Selangor
Kompleks 3K MBSJ,45.57,3.9,Recreation Centers,Selangor
CT Long Badminton Academy,46.14,4.0,Other Outdoor & Lawn Sports,Kedah
Bemban Fishing Club,53.57,4.3,Fishing & Hunting,Kedah
Hangout Community (Metro Avenue),49.29,4.5,Gyms & Studios,Other
Dewan Badminton Ko,35.43,4.0,Other Outdoor & Lawn Sports,Selangor
GR Sports Centre ( piabetainton Centre ),32.86,4.0,Other Outdoor & Lawn Sports,Negeri Sembilan
Arena Sukan,43.43,4.3,Recreation Centers,Sarawak
Damai Golf And Country Club,42.0,4.2,Golf & Driving Ranges,Sarawak
Sakthi School of Yoga,61.86,5.0,Gyms & Studios,Selangor
TCE Tackles Sdn Bhd,53.14,4.3,Fishing & Hunting,Pahang
Mountain View Golf Resort,45.5,3.9,Golf & Driving Ranges,Other
Body Factory Gym & Fitness Centre,23.86,4.1,Gyms & Studios,Selangor
Red Gym & Fitness Centre,37.0,4.6,Gyms & Studios,Perak
TCE Tackles Sdn Bhd,58.86,4.1,Fishing & Hunting,Kedah
Arena Sukan Kuala Lumpur ( ASKL ),65.57,4.8,Recreation Centers,Kuala Lumpur
The Club @ IJM Rimbayu,40.17,4.4,Saunas & Spas,Selangor
Ara Court Badminton Hall,52.86,3.9,Other Outdoor & Lawn Sports,Selangor
Next Revenue Badminton Hall (Book with AFA),52.29,3.8,Other Outdoor & Lawn Sports,Kuala Lumpur
LifenFitness Seventeen,43.71,4.9,Gyms & Studios,Selangor
"Pusat Akuatik Hang Jebat,",51.57,3.9,Recreation Centers,Other
Sunway Sports Center,27.86,3.9,Recreation Centers,Other
Fat 2 Fit,35.43,4.1,Gyms & Studios,Selangor
Kolam Pancing Kelimas Enterprise,45.57,3.5,Fishing & Hunting,Perak
Mission-Q Escape Room,54.29,4.8,Recreation Centers,Selangor
Central Park Dataran Sunway,46.43,4.0,Recreation Centers,Selangor
TCE Tackles Sdn Bhd,45.43,4.1,Fishing & Hunting,Terengganu
D Joran Bagus,43.83,4.1,Fishing & Hunting,Johor
Gympark Fitness HQ,55.29,4.2,Gyms & Studios,Selangor
TCE Tackles Sdn Bhd,66.57,4.5,Fishing & Hunting,Selangor
Permata Sports Complex,34.57,4.0,Other Outdoor & Lawn Sports,Other
