name,lat,lon,category,traffic_score,rating,state
Pronet Sport Centre,2.69944242,101.91873795,Recreation Centers,27.57,4.6,Negeri Sembilan
Yosin Badminton Court 2 (Previously known as Elite Sports),3.14460934,101.52917617,Other Outdoor & Lawn Sports,24.86,3.5,Selangor
Mini Mak Chili Stadium,4.2460142,103.39841657,Recreation Centers,44.83,4.8,Terengganu
Footballhub @ Eco Grandeur,3.22823227,101.45502754,Team Sports & Fields,18.71,4.4,Selangor
Esplanade Bowl Kg. Koh,4.20650014,100.69851744,Recreation Centers,35.29,4.2,Perak
Elite Futsal and Badminton,3.68642265,101.51675293,Other Outdoor & Lawn Sports,58.14,3.9,Perak
FR Badminton Sports,3.67215063,101.52130955,Team Sports & Fields,26.0,4.7,Selangor
Dewan Badminton Haji Amir,5.79559671,102.55616171,Recreation Centers,37.57,4.8,Terengganu
Tupah Sports Centre,5.71504519,100.4354767,Other Outdoor & Lawn Sports,33.86,5.0,Kedah
Batu Berendam Badminton Hall,2.25124564,102.24573868,Recreation Centers,27.86,4.7,Melaka
UIA Football Turf,3.24901761,101.74108795,Team Sports & Fields,33.29,3.8,Kuala Lumpur
BB Sports Park,3.22005044,101.73894162,Recreation Centers,43.29,4.4,Kuala Lumpur
Level Up Fitness Xpress Marina Square (24 Hour Gym),4.39180658,113.97850782,Gyms & Studios,53.67,4.2,Sarawak
Kapten Gym,2.70381847,101.95699912,Gyms & Studios,51.71,4.2,Negeri Sembilan
AS Futsal Tok Jembal,5.40199262,103.08921791,Ball Sports,27.14,4.8,Terengganu
Miya Futsal Sport Centre,5.29073332,103.01991393,Ball Sports,51.29,4.9,Terengganu
Futsal Arena Alam,1.5099988,103.86467759,Ball Sports,45.0,4.8,Johor
BFT Damansara Heights,3.15029547,101.65033381,Gyms & Studios,37.33,5.0,Kuala Lumpur
雪兰莪兿峰龍獅體育會 Persatuan Sukan Ngai Fong Ampang Selangor,3.11517998,101.7591921,Recreation Centers,33.0,4.5,Selangor
Sakura Spa,3.13536296,101.70037974,Recreation Centers,58.86,4.4,Kuala Lumpur
Wedge Range PJ,3.0879511,101.62222394,Golf & Driving Ranges,49.71,4.8,Selangor
VSE GOLF RANGE SIMULATOR,2.96503113,101.71751461,Golf & Driving Ranges,57.14,5.0,Selangor
Underpar Driving Range,3.80942515,103.36250433,Golf & Driving Ranges,32.43,5.0,Pahang
Blue Ice Snow Park @ Pavilion Bukit Jalil,3.05257261,101.66749439,Skating & Rinks,58.0,4.1,Kuala Lumpur
Kolam Pancing MV Air Masin,3.10187115,101.8106925,Fishing & Hunting,54.86,3.3,Selangor
Genki Wellness Centre & Japanese Spa,5.30718758,100.47876667,Saunas & Spas,58.57,4.8,Other
Crystal Leaf Beauty SPA,1.48361484,103.75455843,Saunas & Spas,34.71,4.9,Johor
AP GYM & FITNESS,1.48085843,103.88978423,Gyms & Studios,37.43,4.2,Johor
Kong Gym and Body Building Centre,2.66928372,101.9815917,Gyms & Studios,29.57,4.8,Negeri Sembilan
Pro-Fit Fitness Studio (1-on-1 Personal Training Private Studio),3.11196138,101.73970348,Gyms & Studios,36.33,4.8,Kuala Lumpur
TOP GRACE ARENA SPORT,5.86306237,118.03535065,Other Outdoor & Lawn Sports,49.14,4.7,Sabah
AFC Athlete Fitness Centre,1.45924569,103.58054516,Gyms & Studios,50.29,4.4,Johor
Cobra Gym Express Seksyen 32 Shah Alam 24 Hour Fitness,3.01957535,101.5337834,Gyms & Studios,46.57,4.4,Selangor
TCE Tackles Sdn Bhd,5.03619364,118.33859169,Fishing & Hunting,72.29,4.5,Sabah
Max Power Gym & Fitness Studio,5.68024997,100.49103854,Gyms & Studios,43.17,4.4,Kedah
Kolam Memancing PokNik,3.78367632,103.31753395,Fishing & Hunting,35.29,3.9,Pahang
Master Badminton Club (MBC) Klebang,4.68492133,101.11718577,Other Outdoor & Lawn Sports,53.43,4.4,Perak
Transform Gym Battle Zone,1.55267062,103.7819502,Gyms & Studios,48.14,4.2,Johor
Anytime Fitness Eco Sky,3.21920739,101.66876749,Gyms & Studios,30.0,4.7,Selangor
Kuala Lumpur Sports City,3.05350242,101.68990755,Recreation Centers,13.57,4.4,Kuala Lumpur
Celebrity Fitness - MyTOWN Shopping Centre,3.13561624,101.71973357,Gyms & Studios,40.71,3.9,Kuala Lumpur
Myraz Gym & Studio,2.94730424,101.61482441,Gyms & Studios,59.33,4.4,Selangor
Subang Racquet & Golf Center,3.08099847,101.57503359,Recreation Centers,40.14,3.4,Selangor
Believe Fitness BMC Mall,3.05493936,101.78410778,Gyms & Studios,46.57,4.3,Selangor
Kolam Pancing Udang Galah Mileseven Ijok,3.3135959,101.38194235,Fishing & Hunting,20.57,4.1,Selangor
TCE Tackles Sdn Bhd,6.11656385,102.24406885,Fishing & Hunting,60.14,4.1,Kelantan
TCE Tackles Sdn Bhd,4.89348841,100.72195721,Fishing & Hunting,67.57,4.2,Perak
TCE Tackles Sdn Bhd,5.44103447,101.13003461,Fishing & Hunting,64.43,4.0,Perak
TCE Tackles Sdn Bhd,3.13033484,101.72872158,Fishing & Hunting,74.43,4.2,Kuala Lumpur
Yiko Badminton Sarikei,2.12446858,111.54673934,Other Outdoor & Lawn Sports,27.71,4.8,Sarawak
TCE Tackles Sdn Bhd,5.59771474,102.1905713,Fishing & Hunting,67.71,4.2,Kelantan
Anytime Fitness Setia Tropika,1.54865525,103.71465169,Gyms & Studios,29.14,4.6,Johor
Cowboy Fitness Taman Pelangi Johor Bahru,1.47866357,103.77329748,Gyms & Studios,54.14,4.8,Johor
KAS Kepong Arena Sports,3.20373888,101.64837681,Other Outdoor & Lawn Sports,51.29,4.0,Kuala Lumpur
TCE Tackles Sdn Bhd,6.06347256,116.17975367,Fishing & Hunting,61.14,4.8,Sabah
Mighty Fitness Gym,3.8253648,103.33352823,Gyms & Studios,38.14,3.8,Pahang
CLUBALOHA (Plaza Damas),3.16452393,101.65417124,Gyms & Studios,42.86,4.8,Kuala Lumpur
"Darulaman Golf & Country Club, DGCC",6.24862085,100.43989826,Golf & Driving Ranges,61.57,4.0,Kedah
Level Up Fitness MJC Papillon (Premium 24-Hour Gym),1.51460761,110.30168612,Gyms & Studios,43.43,4.7,Sarawak
Masterscaff Indoor Paka,4.59616554,103.44082192,Ball Sports,32.14,4.1,Terengganu
Kampung Gym (Seelong Branch),1.63085246,103.69367732,Gyms & Studios,56.29,4.9,Johor
TCE Tackles Sdn Bhd,6.16663968,100.49780985,Fishing & Hunting,45.0,4.6,Kedah
Terengganu Royal Golf Club,5.30362038,103.15859484,Golf & Driving Ranges,61.0,4.1,Terengganu
Brothers Futsal Centre,3.01935359,101.41206413,Ball Sports,34.43,4.0,Selangor
Mayi Ayur Yoga,3.23369185,101.63848462,Gyms & Studios,57.86,4.9,Selangor
Surya Yoga bukit tinggi,3.01435648,101.4288407,Gyms & Studios,30.17,3.9,Selangor
"DEWAN BADMINTON D'BARUH MURING, BINJAI BONGKOK",5.22649414,103.08334988,Gyms & Studios,61.43,4.3,Terengganu
Top Speed Fitness - Subang Jaya,3.04819262,101.58423213,Gyms & Studios,35.43,4.0,Selangor
ALTEC Table Tennis,2.97624161,101.79785016,Recreation Centers,55.0,4.5,Selangor
