category,rating,name,state
Gyms & Studios,4.4,Cobra Gym Express Seksyen 32 Shah Alam 24 Hour Fitness,Selangor
Fishing & Hunting,4.5,TCE Tackles Sdn Bhd,Sabah
Gyms & Studios,4.4,Max Power Gym & Fitness Studio,Kedah
Fishing & Hunting,3.9,Kolam Memancing PokNik,Pahang
Other Outdoor & Lawn Sports,4.4,Master Badminton Club (MBC) Klebang,Perak
Gyms & Studios,4.2,Transform Gym Battle Zone,Johor
Gyms & Studios,4.7,Anytime Fitness Eco Sky,Selangor
Recreation Centers,4.4,Kuala Lumpur Sports City,Kuala Lumpur
Gyms & Studios,3.9,Celebrity Fitness - MyTOWN Shopping Centre,Kuala Lumpur
Gyms & Studios,4.4,Myraz Gym & Studio,Selangor
Recreation Centers,3.4,Subang Racquet & Golf Center,Selangor
Gyms & Studios,4.3,Believe Fitness BMC Mall,Selangor
Fishing & Hunting,4.1,Kolam Pancing Udang Galah Mileseven Ijok,Selangor
Fishing & Hunting,4.1,TCE Tackles Sdn Bhd,Kelantan
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Perak
Fishing & Hunting,4.0,TCE Tackles Sdn Bhd,Perak
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Kuala Lumpur
Other Outdoor & Lawn Sports,4.8,Yiko Badminton Sarikei,Sarawak
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Kelantan
Gyms & Studios,4.6,Anytime Fitness Setia Tropika,Johor
Gyms & Studios,4.8,Cowboy Fitness Taman Pelangi Johor Bahru,Johor
Other Outdoor & Lawn Sports,4.0,KAS Kepong Arena Sports,Kuala Lumpur
Fishing & Hunting,4.8,TCE Tackles Sdn Bhd,Sabah
Gyms & Studios,3.8,Mighty Fitness Gym,Pahang
Gyms & Studios,4.8,CLUBALOHA (Plaza Damas),Kuala Lumpur
Golf & Driving Ranges,4.0,"Darulaman Golf & Country Club, DGCC",Kedah
Gyms & Studios,4.7,Level Up Fitness MJC Papillon (Premium 24-Hour Gym),Sarawak
Ball Sports,4.1,Masterscaff Indoor Paka,Terengganu
Gyms & Studios,4.9,Kampung Gym (Seelong Branch),Johor
Fishing & Hunting,4.6,TCE Tackles Sdn Bhd,Kedah
Golf & Driving Ranges,4.1,Terengganu Royal Golf Club,Terengganu
Ball Sports,4.0,Brothers Futsal Centre,Selangor
Gyms & Studios,4.9,Mayi Ayur Yoga,Selangor
Gyms & Studios,3.9,Surya Yoga bukit tinggi,Selangor
Gyms & Studios,4.3,"DEWAN BADMINTON D'BARUH MURING, BINJAI BONGKOK",Terengganu
Gyms & Studios,4.0,Top Speed Fitness - Subang Jaya,Selangor
Recreation Centers,4.5,ALTEC Table Tennis,Selangor
Saunas & Spas,4.7,V Spa Reflexology,Sarawak
Fishing & Hunting,3.9,TCE Tackles Sdn Bhd,Sarawak
Fishing & Hunting,4.5,LEE'S TACKLE HOME MIRI,Sarawak
Shooting & Gun Ranges,5.0,Pusat Latihan Pasukan Gerakan Am,Perak
Gyms & Studios,4.5,Cobra Gym Express Bukit Tinggi 24 Hour Fitness,Selangor
Gyms & Studios,4.1,Synergy Fitness Seri Kembangan,Selangor
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Other
Team Sports & Fields,4.5,UM Varsity Green,Kuala Lumpur
Other Outdoor & Lawn Sports,4.2,Yosin Kampung Subang Court,Selangor
Recreation Centers,4.2,The Parenthood @ Sunway Pyramid,Selangor
Gyms & Studios,4.3,Infinity Line Fitness,Perak
